Message Size (bytes),Processes,Time (seconds), Bandwidth (bytes/second), Latency 
2,2,3.42745e-05,58352.4,1.71373e-05
2,4,0.00046324,4317.42,0.00011581
2,8,0.00044151,4529.91,5.51888e-05
2,16,0.000574876,3479.01,3.59297e-05
2,32,0.0011209,1784.29,3.5028e-05
2,64,0.00116986,1709.61,1.8279e-05
4,2,4.42173e-05,90462.3,2.21087e-05
4,4,0.000538471,7428.44,0.000134618
4,8,0.000286813,13946.4,3.58516e-05
4,16,0.000705157,5672.49,4.40723e-05
4,32,0.000659708,6063.29,2.06159e-05
4,64,0.00123665,3234.54,1.93227e-05
8,2,9.19923e-05,86963.8,4.59962e-05
8,4,0.000498457,16049.5,0.000124614
8,8,0.000608349,13150.3,7.60437e-05
8,16,0.00049858,16045.6,3.11612e-05
8,32,0.000783971,10204.5,2.44991e-05
8,64,0.00126731,6312.57,1.98018e-05
16,2,3.85568e-05,414973,1.92784e-05
16,4,0.000477552,33504.2,0.000119388
16,8,0.000620201,25798.1,7.75252e-05
16,16,0.000805901,19853.5,5.03688e-05
16,32,0.000674832,23709.6,2.10885e-05
16,64,0.0011306,14151.8,1.76656e-05
32,2,4.24031e-05,754662,2.12016e-05
32,4,0.000625718,51141.2,0.00015643
32,8,0.000466696,68567.1,5.8337e-05
32,16,0.0005792,55248.6,3.62e-05
32,32,0.000747063,42834.4,2.33457e-05
32,64,0.000831936,38464.5,1.2999e-05
64,2,0.000152557,419515,7.62786e-05
64,4,0.000616713,103776,0.000154178
64,8,0.000617868,103582,7.72335e-05
64,16,0.00072758,87962.8,4.54737e-05
64,32,0.00116206,55074.4,3.63145e-05
64,64,0.000908596,70438.4,1.41968e-05
128,2,0.000113852,1.12426e+06,5.69262e-05
128,4,0.000539392,237304,0.000134848
128,8,0.0006058,211291,7.5725e-05
128,16,0.000408609,313258,2.55381e-05
128,32,0.000686107,186560,2.14409e-05
128,64,0.00117639,108807,1.83811e-05
256,2,4.82835e-05,5.30202e+06,2.41417e-05
256,4,0.000424779,602666,0.000106195
256,8,0.00055692,459671,6.9615e-05
256,16,0.000596398,429244,3.72748e-05
256,32,0.000967657,264556,3.02393e-05
256,64,0.000304186,841591,4.7529e-06
512,2,9.48524e-05,5.39786e+06,4.74262e-05
512,4,0.000458908,1.11569e+06,0.000114727
512,8,0.000444497,1.15186e+06,5.55621e-05
512,16,0.000841369,608532,5.25856e-05
512,32,0.000869834,588618,2.71823e-05
512,64,0.00101808,502906,1.59076e-05
1024,2,4.70113e-05,2.1782e+07,2.35057e-05
1024,4,0.000552011,1.85504e+06,0.000138003
1024,8,0.000532699,1.92229e+06,6.65874e-05
1024,16,0.000525843,1.94735e+06,3.28652e-05
1024,32,0.000655109,1.5631e+06,2.04722e-05
1024,64,0.00101454,1.00933e+06,1.58522e-05
2048,2,0.000127057,1.61188e+07,6.35283e-05
2048,4,0.000529818,3.86548e+06,0.000132455
2048,8,0.00069072,2.96502e+06,8.634e-05
2048,16,0.000460586,4.44651e+06,2.87866e-05
2048,32,0.000753667,2.71738e+06,2.35521e-05
2048,64,0.00102245,2.00304e+06,1.59757e-05
4096,2,6.0454e-05,6.7754e+07,3.0227e-05
4096,4,0.000379774,1.07854e+07,9.49434e-05
4096,8,0.000408303,1.00318e+07,5.10379e-05
4096,16,0.000660469,6.20166e+06,4.12793e-05
4096,32,0.00119763,3.42009e+06,3.7426e-05
4096,64,0.00114961,3.56296e+06,1.79626e-05
8192,2,9.20249e-05,8.90194e+07,4.60125e-05
8192,4,0.000522148,1.5689e+07,0.000130537
8192,8,0.000938227,8.73136e+06,0.000117278
8192,16,0.000649662,1.26096e+07,4.06039e-05
8192,32,0.000777942,1.05303e+07,2.43107e-05
8192,64,0.0011636,7.04024e+06,1.81812e-05
16384,2,0.000133518,1.2271e+08,6.67591e-05
16384,4,0.000445529,3.67743e+07,0.000111382
16384,8,0.000484399,3.38233e+07,6.05499e-05
16384,16,0.000652721,2.51011e+07,4.07951e-05
16384,32,0.000803697,2.03858e+07,2.51155e-05
16384,64,0.00112408,1.45754e+07,1.75638e-05
32768,2,0.000129064,2.5389e+08,6.45318e-05
32768,4,0.000710106,4.61453e+07,0.000177526
32768,8,0.000464559,7.05358e+07,5.80698e-05
32768,16,0.000634188,5.16692e+07,3.96367e-05
32768,32,0.000915827,3.57797e+07,2.86196e-05
32768,64,0.00107972,3.03487e+07,1.68706e-05
65536,2,0.000582603,1.12488e+08,0.000291301
65536,4,0.00153758,4.26229e+07,0.000384395
65536,8,0.00139165,4.70925e+07,0.000173956
65536,16,0.00140812,4.65415e+07,8.80075e-05
65536,32,0.00159064,4.12009e+07,4.97076e-05
65536,64,0.00212658,3.08176e+07,3.32278e-05
131072,2,0.00122933,1.06621e+08,0.000614663
131072,4,0.0017097,7.66638e+07,0.000427424
131072,8,0.00154784,8.46808e+07,0.000193479
131072,16,0.00160803,8.15109e+07,0.000100502
131072,32,0.00159869,8.19872e+07,4.9959e-05
131072,64,0.00211813,6.1881e+07,3.30958e-05
262144,2,0.00197769,1.3255e+08,0.000988846
262144,4,0.00222159,1.17998e+08,0.000555398
262144,8,0.00219458,1.19451e+08,0.000274322
262144,16,0.00223809,1.17128e+08,0.000139881
262144,32,0.00249017,1.05272e+08,7.78178e-05
262144,64,0.00329572,7.95408e+07,5.14956e-05
524288,2,0.00358463,1.4626e+08,0.00179232
524288,4,0.00357721,1.46563e+08,0.000894303
524288,8,0.00406507,1.28974e+08,0.000508133
524288,16,0.00369493,1.41894e+08,0.000230933
524288,32,0.00386308,1.35718e+08,0.000120721
524288,64,0.00443937,1.181e+08,6.93652e-05
1048576,2,0.00621145,1.68813e+08,0.00310572
1048576,4,0.00653538,1.60446e+08,0.00163385
1048576,8,0.00646378,1.62223e+08,0.000807972
1048576,16,0.00629351,1.66612e+08,0.000393344
1048576,32,0.00620828,1.68899e+08,0.000194009
1048576,64,0.00758054,1.38325e+08,0.000118446
2097152,2,0.013669,1.53423e+08,0.00683452
2097152,4,0.012739,1.64624e+08,0.00318475
2097152,8,0.0138372,1.51559e+08,0.00172965
2097152,16,0.0133309,1.57315e+08,0.000833184
2097152,32,0.0115216,1.8202e+08,0.000360049
2097152,64,0.0140685,1.49067e+08,0.000219821
