Message Size (bytes),Processes,Time (seconds), Bandwidth (bytes/second), Latency 
2,2,0.000121405,16473.7,6.07E-05
2,2,6.59E-05,30342.4,3.30E-05
2,4,0.000458503,4362.02,0.000114626
2,4,0.00058083,3443.35,0.000145208
2,8,0.000435434,4593.12,5.44E-05
2,8,0.000555971,3597.31,6.95E-05
2,16,0.000556337,3594.95,3.48E-05
2,16,0.000571148,3501.72,3.57E-05
2,32,0.00101368,1973.01,3.17E-05
2,32,0.000684916,2920.07,2.14E-05
2,64,0.00102409,1952.96,1.60E-05
2,64,0.00110606,1808.22,1.73E-05
4,2,7.99E-05,50060.8,4.00E-05
4,2,9.20E-05,43460.8,4.60E-05
4,4,0.000353884,11303.1,8.85E-05
4,4,0.000397017,10075.1,9.93E-05
4,8,0.000401674,9958.33,5.02E-05
4,8,0.000511296,7823.26,6.39E-05
4,16,0.000584554,6842.82,3.65E-05
4,16,0.000205723,19443.7,1.29E-05
4,32,0.000653727,6118.76,2.04E-05
4,32,0.00078112,5120.85,2.44E-05
4,64,0.00128395,3115.37,2.01E-05
4,64,0.00113349,3528.93,1.77E-05
8,2,5.99E-05,133479,3.00E-05
8,2,5.95E-05,134480,2.97E-05
8,4,0.000539889,14817.9,0.000134972
8,4,0.000548357,14589,0.000137089
8,8,0.000441396,18124.3,5.52E-05
8,8,0.000602836,13270.6,7.54E-05
8,16,0.000711864,11238.1,4.45E-05
8,16,0.000548324,14589.9,3.43E-05
8,32,0.000760904,10513.8,2.38E-05
8,32,0.000831925,9616.25,2.60E-05
8,64,0.000360111,22215.4,5.63E-06
8,64,0.00105358,7593.18,1.65E-05
16,2,5.77E-05,277390,2.88E-05
16,2,7.94E-05,201408,3.97E-05
16,4,0.000483587,33086.1,0.000120897
16,4,0.000493645,32412,0.000123411
16,8,0.000699667,22868,8.75E-05
16,8,0.000455122,35155.4,5.69E-05
16,16,0.000506716,31575.9,3.17E-05
16,16,0.000578505,27657.5,3.62E-05
16,32,0.000775389,20634.8,2.42E-05
16,32,0.000874205,18302.4,2.73E-05
16,64,0.00165067,9693.02,2.58E-05
16,64,0.00137518,11634.9,2.15E-05
32,2,5.41E-05,591553,2.70E-05
32,2,4.07E-05,785725,2.04E-05
32,4,0.000156695,204218,3.92E-05
32,4,0.000398836,80233.5,9.97E-05
32,8,0.000452226,70761.1,5.65E-05
32,8,0.000372222,85970.3,4.65E-05
32,16,0.00046808,68364.4,2.93E-05
32,16,0.000419413,76297.2,2.62E-05
32,32,0.000713471,44851.1,2.23E-05
32,32,0.000832164,38454,2.60E-05
32,64,0.00112123,28540.1,1.75E-05
32,64,0.0010996,29101.5,1.72E-05
64,2,0.000173896,368037,8.69E-05
64,2,0.000174859,366010,8.74E-05
64,4,0.000507894,126011,0.000126973
64,4,0.000459099,139403,0.000114775
64,8,0.000511048,125233,6.39E-05
64,8,0.00056183,113914,7.02E-05
64,16,0.000697589,91744.6,4.36E-05
64,16,0.000439356,145668,2.75E-05
64,32,0.000950759,67314.6,2.97E-05
64,32,0.00100924,63414.3,3.15E-05
64,64,0.0390488,1638.97,0.000610137
64,64,0.00114577,55857.4,1.79E-05
128,2,4.62E-05,2.77E+06,2.31E-05
128,2,6.29E-05,2.03E+06,3.15E-05
128,4,0.000619904,206484,0.000154976
128,4,0.000520439,245946,0.00013011
128,8,0.000506686,252622,6.33E-05
128,8,0.000365929,349795,4.57E-05
128,16,0.00067891,188538,4.24E-05
